text,label,exp_split
the rock is destined to be the 21st century s new conan and that he s going to make a splash even greater than arnold schwarzenegger jean claud van damme or steven segal,1,train
the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words can not adequately describe co writer director peter jackson s expanded vision of j r r tolkien s middle earth,1,train
singer composer bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece,1,train
yet the act is still charming here,1,train
whether or not you re enlightened by any of derrida s lectures on the other and the self derrida is an undeniably fascinating and playful fellow,1,train
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,1,train
part of the charm of satin rouge is that it avoids the obvious with humour and lightness,1,train
a screenplay more ingeniously constructed than memento,1,train
extreme ops exceeds expectations,1,train
good fun good action good acting good dialogue good pace good cinematography,1,train
dramas like this make it human,1,train
still this flick is fun and host to some truly excellent sequences,1,train
australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation,1,train
you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions,1,train
absorbing character study by andré turpin,1,train
if you love reading and or poetry then by all means check it out,1,train
you ll probably love it,1,train
frailty has been written so well that even a simple goddammit,1,train
grenier is terrific bringing an unforced rapid fire delivery to toback s heidegger and nietzsche referencing dialogue,1,train
the actors are fantastic,1,train
they are what makes it worth the trip to the theatre,1,train
taymor utilizes the idea of making kahlo s art a living breathing part of the movie often catapulting the artist into her own work,1,train
this is n t a new idea,0,train
it s been done before but never so vividly or with so much passion,1,train
take care of my cat is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals,1,train
what empire lacks in depth it makes up for with its heart,1,train
light silly photographed with colour and depth and rather a good time,1,train
but tongue in cheek preposterousness has always been part of for the most part wilde s droll whimsy helps being earnest overcome its weaknesses and parker s creative interference,1,train
much of the movie s charm lies in the utter cuteness of stuart and margolo,1,train
their computer animated faces are very expressive,1,train
spiced with humor i speak fluent flatula advises denlopp after a rather er bubbly exchange with an alien deckhand and witty updatings silver s parrot has been replaced with morph a cute alien creature who mimics everyone and everything around,1,train
there s an energy to y tu mamá también,1,train
much of it comes from the brave uninhibited performances by its lead actors,1,train
auto focus works as an unusual biopic and document of male swingers in the playboy era,1,train
a sour little movie at its core an exploration of the emptiness that underlay the relentless gaiety of the 1920 s the film s ending has a what was it all for,0,train
feeling to it but like the 1920 s the trip there is a great deal of fun,1,train
cremaster 3 should come with the warning for serious film buffs only,1,train
made me unintentionally famous as the queasy stomached critic who staggered from the theater and blacked out in the lobby,0,train
but believe it or not it s one of the most beautiful evocative works i ve seen,1,train
garcía bernal and talancón are an immensely appealing couple and even though their story is predictable you ll want things to work out,1,train
a spoof comedy that carries its share of laughs sometimes a chuckle sometimes a guffaw and to my great pleasure the occasional belly laugh,1,train
city reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self caricature of analyze this 1999 and analyze that promised or threatened for later this year,1,train
the wanton slipperiness of corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art,1,train
frailty starts out like a typical bible killer story but it turns out to be significantly different and better than most films with this theme,1,train
for those who pride themselves on sophisticated discerning taste this might not seem like the proper cup of tea however it is almost guaranteed that even the stuffiest cinema goers will laugh their off for an hour and a half,1,train
it cuts to the core of what it actually means to face your fears to be a girl in a world of boys to be a boy truly in love with a girl and to ride the big metaphorical wave that is life wherever it takes you,1,train
a welcome relief from baseball movies that try too hard to be mythic this one is a sweet and modest and ultimately winning story,1,train
a crisp psychological drama and a fascinating little thriller that would have been perfect for an old twilight zone episode,1,train
