text,label,exp_split
you know your get old when you think the girl in the arthritis commercial be pretty cute . lol # DRUG,0,train
""" bang headache , DRUG and bed it be for me """,0,train
holy shit my spacer seriously amp up DRUG like i be shake,1,train
""" presser handout for DRUG drug clot med / sponsorship come with 6 page of fda - ish drug warning : one of which be : red , pink or brown urine """,0,train
""" i ' m tire of be tire , deffinatly # nap time for this girl . stupid # medication # DRUG # DRUG # DRUG """,1,train
""" user good . . . ra be do okay , i just need to remember to pick up my prescription this even ! # DRUG # rheum """,0,train
""" user right , but DRUG can make thing much bad . . . and why give bayer more of your money ? they already screw you once w / essure """,0,train
user user what i take be serious . i never wa inform ahead of time . i could get metabolic syndrome from DRUG .,1,train
some lady s nuvaring fell out in the park lot at work DRUG and i have to go pick it up still do nt get how it fell out . .,0,train
question from chc provider : could you please address evidence abuut DRUG be le effective than tcas # projectecho,0,train
i wish my DRUG case wa nt orange ) - :,0,train
user user user the rx s i quit for m use pot - DRUG DRUG DRUG DRUG DRUG DRUG DRUG DRUG,0,train
3 DRUG and 6 DRUG and no sleep . fuck you for haunt me abalam !,0,train
user i ' m already take DRUG but it s annoy and a bitch . if i do nt take anything i wo nt be able to walk . . so it s not an option,1,train
thankyou do much for DRUG knight love you all dx,0,train
so the ten - odd dos of DRUG in the medicine cabinet . . . yeah that might have come in handy five day ago . # thankstips,0,train
take adderall they say . you wo nt notice it they say,0,train
""" what the shit . i feel like im have DRUG withdrawal , but have nt miss my dose in age . . . . not cool . """,1,train
and a prescription of DRUG and new box of contact because these one i ' m wear be old a fuck and my insurance be a dick .,0,train
DRUG make me numb . . . and dizzy . . . my thought become scatter . . . sort of like anxiety . . . but i do nt care really . . .,1,train
DRUG be my bestie right now # goodnightworld,0,train
i need a damn DRUG or somthing,0,train
# DRUG # withdrawl be a monster that i have take by the horn and be wrestle to the grind . . . this time i be win ! 7thdayfree,1,train
""" user have my doctor attempt to treat with bactrim prior to DRUG , i would nt be cripple DRUG . """,1,train
user that ll be DRUG which wa pass a a medicine by the relevant authority at the time ? user user,0,train
user banana contain a natural chemical that can make a person happy - the DRUG chemical find in DRUG . happy banana yayay : ),0,train
""" user user user maybe something similar to DRUG will be develop , strangely DRUG hasnt prove to be """,0,train
""" my psychiatrist be go to be furious with me for just stop take DRUG all of a sudden ( and rightfully so ) , but it s expensive . """,0,train
my DRUG like to marvin gaye . i think that be fart . i just go to the diarrhea hut and babysat some dentist .,1,train
my first DRUG paycheck be more than a whole summer in the oakwood snack shack,0,train
""" i ' m watch brave and i ' m definitely DRUG bc she doe nt take shit from anyone , decide her destiny & DRUG DRUG ; ha super curly hair so ya that me """,0,train
user DRUG numbermcg and DRUG,0,train
""" user i read this . . . i have a DRUG alarm clock at home , always think there d be a market for that """,0,train
ik some people who need DRUG DRUG . shiet,0,train
user look up DRUG commercial . it be for post - menopausal osteoporosis . the warning say do nt take if you re pregnant .,0,train
new clue to link between m drug DRUG and rare brain disease researcher report that they think they have figure out why patient . . .,0,train
my diet consist of chug a quart of miralax number hour before i plan to step on the bathroom scale,0,train
user - how to get more follower ? need to spread the word - only DRUG list - lev . and ave bring more to you ? think,0,train
different effect of intravitreally inject DRUG and DRUG on retinal and choroidal tissue of monkey eye . . .,0,train
""" okay . in the begin , i wa get DRUG treatment too , then it become bad and then my doctor try DRUG . . . user",0,train
user everyone on DRUG cld buy natco s generic for number / mon insteaf of bayer s numberl / mon . it be for liver cancer -,0,train
1 hour before our concert . and check out out lozenge buffet url,0,train
man . get me dat phat grapple and wave beam in maridia . gotta pick up that gud shit on mah way back to crateria through maridia and brinstar .,0,train
""" user user lol DRUG wa 2 foot long . that s like say numberyrs ago , do mobile co not learn anything from the dynatac . """,0,train
user user cause i puff a DRUG inhaler and snort nasal spray for dry nose i ' m a druggy now ? !,0,train
DRUG < < < < < < <,0,train
don francisco winery entangle fruity leather undertone and a absurd DRUG bouquet in their number semillon . #,0,train
""" an fda keep the black - box warn on the smoke cessation drug DRUG ( DRUG ) , the warn alert patientsl , suicidal behavior . """,0,train
phase ii avias trial negative . not beneficial to add DRUG to pca patient in intermittent adr user # ursnumber,0,train
user know anything about DRUG supply problem ? hard on vegetarian who need tablet not cap !,0,train
feel proud of myself for write up my august favourite DRUG even though i have my DRUG infusion and feel like shit . # bbloggers,1,train
""" two patient DRUG , both be on DRUG for four year or so have recent mri s result . . . no far progression and lesion shrink ! ! """,0,train
i ve have this headache since morning . DRUG do nothing . maybe endorphin will .,0,train
i hate u DRUG,0,train
bed now have 1st evr blood do in morning since start DRUG in nov & i have ask for this a wa not tell necessary by mh team ! !,0,train
""" barner address ongoing DRUG case : "" "" we be convince that bi ha act correctly & this will be confirm in the final analysis "" "" # biapc """,0,train
report : a fix - dose regimen of DRUG for ischemic stroke may be ineffective in pt with severe obesity . url,0,train
user # donowpills prescription drug abuse look like adderall and sometimes but rarely vicodin where i live,1,train
i mean unless youre literally try to kill my boyfriend . . . DRUG be the way to go . . .,0,train
last question : DRUG use for . . . . . . . . . . .,0,train
user bad than the DRUG study . . . just career / tenure make data mine nonsense . thank for post,0,train
""" user it be but i dont know if it due to the DRUG , baby brain , dissociation or just forgetfulness , it concern . xx """,0,train
""" i ' m not that type of guy who carry man - purse , but i know beza DRUG man - purse dgn toiletry bag . """,0,train
user DRUG be awful ! ! ! i hat be on that,0,train
""" user DRUG many drug ( eg DRUG ) already approve 4 use in other dxs , but comp s want add ' l approval so they can advertise it # hcsm """,0,train
smh i walk my dog for number minute and i come across at least a dozen suboxone wrapper . fuck junky,0,train
constipation be a funny word . it mean poop do nt come out . you need miralax from walgreens . user,0,train
# migraine peep : my doc inform me DRUG be switch to only number mg xr form soon . time to find a new preventive for me . DRUG user,0,train
tylae . get your shit together ! ! joe it be ! i take DRUG this morning !,0,train
half of DRUG equal number hr .,0,train
